Внутренняя нумерация,Дата отгрузки,№ Заказа,Клиент,Номенклатура,Профиль,Марка,Размер мм.,Длина,Кол-во тн в заказе,ИТОГО остаток к выполнению,Взято со склада (тн),ИТОГО остатка к завершению,Тех. отходы 2,Дел. Остатки 2,КИМ 2,Исходная Номенклатура/ наличие,Профиль,НТД,Марка стали,Размер,Длина,Исх. Остаток ст. (тн),Взято из остатка (тн),Свободный остаток (тн),Тех. отходы 3,Дел. Остатки 3,КИМ 3,ИТОГО остатка к завершению 3,Исходная Номенклатура/ ожидание,Профиль,Марка,Размер,Кол-во тн.,Длина,Дата размещения,Поставщик,Ожидаемая дата поставки
11,15.01.2026,АР-353/0011,МЕТАЛЛОТОРГ АО,"ГОСТ 4543-2016/ГОСТ 7417-75 круг 56,0мм ст.40Хх6000 h11 В НГ МД консервация без упаковки",Круг,ст.40Х,56,МД 6000,2,"0,254",0,"0,263",0,0,0,,,,,,,,,,,,,,,,,,,,,,
63,20.02.2026,АР-353/0006,МЗКТ ОАО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 27,0мм ст.35 h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.35,27,НД,3,"1,196",0,"1,238",0,0,0,,,,,,,,,,,,,,,,,,,,,,
69,20.02.2026,АР-353/0006,МЗКТ ОАО,"ГОСТ 4543-2016/ГОСТ 8560-78 шестигранник 27,0мм ст.40Х h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.40Х,27,НД,1,1,0,"1,035",0,0,0,,,,,,,,,,,,,,,,,,,,,,
72,25.02.2026,АР-026/0001,ПРОМКАЛИБР ООО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 22,0мм ст.45 h11 В НГ Н/Д консервация без упаковки",Круг,ст.45,22,НД,2,"0,218","0,225",0,"0,007",0,"0,969","Круг г/к 24,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,24,НД,"4,85","0,22","4,63",,,,,,,,,,,,,
76,25.02.2026,АР-026/0001,ПРОМКАЛИБР ООО,"ГОСТ 1050-2013/ГОСТ 8560-78 шестигранник 22,0мм ст.45 h11 В НГ Н/Д консервация без упаковки",Шестигранник,ст.45,22,НД,2,2,0,"2,07",0,0,0,,,,,,,,,,,,,,,,,,,,,,
89,25.02.2026,АР-026/0003,МашПромКомплект,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 45,0мм ст.45х4300 h11 В М2-ТВ2-ТО М/Д консервация без упаковки",Круг,ст.45,45,МД 4300,15,"3,82","0,29","3,702","0,117","0,068","0,954","Круг г/к 46,0мм ст.45 В1 2ГП МД 4500,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,46,МД 4500,"0,29","0,29","0,00",,,,,,,,,,,,,
98,25.02.2026,АР-033/0001,МЕТАЛЛСЕРВИС АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 50,0мм ст.45 h11 В НГ Н/Д консервация без упаковки",Круг,ст.45,50,НД,8,"0,6","0,619",0,"0,018","0,001","0,969","Круг г/к 52,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,52,МД 6000,"1,32","0,62","0,70",,,,,,,,,,,,,
105,25.02.2026,АР-048/0003,"ООО ""ИМЗ-ТРЕЙД""","ГОСТ 4543-2016/ГОСТ 7417-75 круг 26,0мм ст.40Хх5560 h11 Б НГ М/Д НВ 179-229 консервация без упаковки",Круг,ст.40Х,26,МД 5560,21,"1,481",0,"1,545",0,0,0,,,,,,,,,,,,,,,,,,,,,,
122,25.02.2026,АР-048/0013,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 25,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,25,НД,2,"0,706",0,"0,728",0,0,0,,,,,,,,,,,,,,,,,,,,,,
146,25.02.2026,АР-048/0010,МЕТАЛЛОТОРГ АО,"ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.20 h11 В НГ Н/Д консервация без упаковки",Круг,ст.20,30,НД,4,"0,93","0,96",0,"0,028","0,001","0,969","Круг г/к 32,0мм ст.20 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.20,32,МД 6000,"6,93","0,96","5,97",,,,,,,,,,,,,
